Release_Date,Category,Product,Sub_Product,Function,Sub_Function,Release_Summary,Release_Note,Slack Link,Product Video,CS Video Int,CS Video Ext,Release_Note_Link,Documentation,Assigned Resource,CS Video Added Date
10/06/2022,Component,Monitor,Prometheus Integration,,,1.0.0,"Integrations:
Feat: Add description text to integration jobs
Feat: Add support in Fluentd for OpenShift
Feat: Create Troubleshooting text for Istio and Istio-envoy integrations
Feat: New integrations - OpenShift Control Plane
Fix: Edit AWS MetricStreams panels to show solid line on gap always
Fix: kafka-service in wizard should be a textToList so the customer can enter more than one Kafka service
Dashboards and alerts:
Fix: Change query in the Nginx Ingress Template
Fix: Typo in dashboard template for Kubernetes Controller Manager
PromCat.io and Promotion:
Fix: AWS RDS LongCPUThrottling wrong value in Alerts",Slack Link,NA,NA,NA,Release Notes,NA,,
10/06/2022,Component,Secure,SFC-AWS-TF,,,0.10.0,"Adapt to support for Terraform 1.3+
:warning:  this is a breaking change for customers with Terraform <1.3. please refer to release notes to know howto avoid upgrading problems
Will upgrade onboarding and docs requirements now
Released ECR scanning with the new scanning engine; this is still internal testing, discussion on #sds-f-registry-scanning and testing program guidelines soon on #temp-registry-scanning-alpha",Slack Link,NA,NA,NA,Release Notes,NA,,
10/07/2022,Utility,Secure,Falco,,,Kill known malicious process,"Attackers try to kill known malicious processes in order to gain complete control of the machine or remove executions started by previous infections/attacks. These commands are usually executed during the first phases of attack. The process list is constantly updated when new malicious process names will be found.
Policy: Sysdig Runtime Threat Intelligence
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
10/07/2022,Utility,Secure,Falco,,,Dump memory for credentials,"This technique was seen in malwares and consists of searching in maps or mem files (stored inside of processes folders) to find credentials in plaintext. The condition is raced when a process like grep, find or cat tries to open files in maps or mem folders (usually stored in paths like /proc/proc_number/) and for sure can be an indicator of compromise.
Policy: Sysdig Runtime Threat Detection
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
10/07/2022,Product Feature,Secure,Detection & Response,Insights,,Node & Pod Activity,,Slack Link,NA,?,?,NA,Docs Link,,
10/07/2022,Product Feature,Secure,Detection & Response,Insights,,Severity Filtering,,Slack Link,Gif,?,?,NA,Docs Link,,
10/07/2022,Product Feature,Secure,Detection & Response,Falco,Policy/Rule,Badge for newly added rule in Managed Policies/Rulesets - will keep it for 7 days.,,Slack Link,NA,?,?,NA,NA,,
10/13/2022,Product Feature,Platform,Settings,RBAC,,Group mappings allow you to connect groups from your identity provider (IdP) to the roles and teams associated with your Sysdig account,,Slack Link,NA,NA,NA,NA,NA,,
10/14/2022,Utility,Secure,Falco,,,Diamorphine Rootkit Activity,"This rule detects Diamorphine activities which is a loadable kernel module (LKM) rootkit for Linux kernels. It’s used and designed to obtain higher privileges on processes and hide malicious activities. This tool has been used in recents real-world attacks monitored in the wild.
Policy: Sysdig Runtime Threat Detection
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,,,
10/17/2022,Product Feature,Monitor,Advisor,,,"Advisor now supports displaying the YAML configuration for pods, which is the equivalent of running kubectl get pod <pod> -o yaml.",,Slack Link,NA,?,?,NA,Docs Link,,
10/18/2022,Component,Secure,SFC-AWS-TF,,,0.10.1,"Fix ECR scanner beta-feature with new engine for aws single-account installations.
Other minor documentation changes and troubleshooting.",Slack Link,NA,NA,NA,Release Notes,NA,,
10/19/2022,Product Feature,Monitor,Costs,,,Preview of Cost Advisor for AWS,,Slack Link,NA,NA,NA,NA,Docs Link,,
10/20/2022,Utility,Secure,Falco,,,Unexpected Connection from legitimate Process/Port,"This rule detects a process (or its parent) generating unexpected network connections. The use case started from a recent malware (VIRTUALPITA) targeting VMware VSphere where the ksmd process exploited to open a port and get remote code execution, file transfer or service management. At the moment the rule detects only this specific use case but we are going to update the detection use cases that use this technique will be found. Customers can only add their own process if they want to monitor specific processes in their environment.
Policy: Sysdig Runtime Threat Detection
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
10/20/2022,Product Feature,Monitor,Dashboard,PromQL,,Ability to change query Step in internal in PromQL,,Slack Link,NA,?,?,NA,Docs Link,,
10/24/2022,Product Feature,Secure,Home,,,New Home/Todo Page - GA all except IBM,,Slack Link,NA,?,?,NA,Docs Link,,
10/26/2022,Product Feature,Platform,Settings,Notification Channel,,Ability to customise sections used when sending Slack notifications.,,Slack Link,NA,?,?,NA,Docs Link,,
10/26/2022,Component,Monitor,Prometheus Integration,,,1.1.0,"Integrations:
Feat: New integration: Azure Virtual Machines  (the first one of many to come!)
Feat: New integration: OpenShift Kubelet
Feat: New integration: Sysdig Monitor
Bug: Add prerequisites to Calico
Dashboards and alerts:
Fix: Re-Enable openshift-state-metrics job
Fix: Wrong aggregation in panel in ""Sysdig Agent health and status"" dashboard
Feat: Kubelet storage metrics deprecated in k8s 1.23
Fix: New OpenShift dashboards aren't present in production
PromCat.io and Promotion:
Feat: Remove Sysdig resources from Promcat.io
Bug: When selecting a category in the left menu, all integrations disappear",Slack Link,NA,NA,NA,Release Notes,NA,,
10/26/2022,Product Feature,Secure,Settings,Event Forwarding,,"New Events Forwarder integration released in the wild:
Google Security Command Center",,Slack Link,NA,NA,NA,NA,Docs Link,,
10/27/2022,Component,Secure,Cloud Connector,,,0.16.20,"Documentation
clarify release ecr image (#775) :iru-intensifies:
Features
Add support for unquoted globs (#779) :fede-intensifies:
Small modifications
Homogeneize logs with the image name, which is the field used in previous flow logs (#776)",Slack Link,NA,NA,NA,Release Notes,NA,,
10/27/2022,Component,Secure,Admission Controller Int,,,3.9.10,"Features
Add support for unquoted globs (#779)",Slack Link,NA,NA,NA,Release Notes,NA,,
10/27/2022,Product Feature,Monitor,Monitor Integration,Cloud,,The Cloud Monitor team is excited to announce the release of Metrics Filtering for AWS CloudWatch Streams,,Slack Link,NA,?,?,NA,NA,,
10/28/2022,Product Feature,Monitor,Alert,,,"Ability to alert on No Data.
Multiple threshold (internal preview only).",,Slack Link,"Gifs1
Gifs2",?,?,NA,NA,,
11/3/2022,Component,Platform,OnPrem,,,5.1.4,"Upgrade Process
Supported Upgrades From: 4.0.x, 5.0.x

For the full supportability matrix, see the Release Notes on Github. There you will also find important Install instructions.

Secure
Removed the Legacy Benchmarks button from the Secure UI. The feature soon to be deprecated in on-premise deployments.

Added the Shared with Team permission in Group Mappings to the ServiceManager role.

Defect Fixes
Fixed an issue when a scanned image would not correctly report a vulnerability detected in kernel-headers package.
Fixed a Secure scanning issue when an image was scanned by multiple sources (i.e. Inline Scanner and Node Analyzer) and the UI would redirect the user to the incorrect source.
Fixed a Team Scope issue in Secure when the agent.tag.accountid scope was configured and users could not see Host scanning results.
Updated the Secure Only on-premise setting for aggregation interval set to 60 seconds to help reduce the number of “stream resetting” log warnings in the Sysdig backend.",Slack Link,NA,NA,NA,Release Notes,NA,,
11/4/2022,Component,Monitor,Prometheus Integration,,,1.2.0,"Integrations:
Feat: New integration: Azure Virtual Machine Scale Sets
Sec: postgresql-exporter image Critical High vulnerabilities
Sec: Update elasticsearch-exporter image Critical High vulnerabilities
Fix: Kube-scheduller and controller-manager jobs not available
Fix: Kube-scheduler and controller-manager ports switched
Doc: Update the docs of Nginx-Ingress Controller integration to reflect the controller it refers to
Fix: Add better details to HAProxy Ingress integration Prerequisites
Doc: Update AWS MetricStream Fargate documentation
Dashboards and alerts:
Fix: Apply correct functions (rate vs avg) in kubernetes dashboards
Fix: Some Kubernetes Jobs panels have wrong PromQLs
Fix: Scope not being applied in panel in pod rightsizing dashboard
Feat: Add the min. interval option in AWS MetricsStream dashboard templates",Slack Link,NA,NA,NA,Release Notes,NA,,
11/7/2022,Product Feature,Secure,Detection & Response,Events,Events Feed,"added a shortcut for you to view the rule and the event side by side. No more cut, paste the rule, go to the rules library (if you can find it) and look for the rule, click the rule!.",,Slack Link,NA,?,?,NA,NA,,
11/7/2022,Product Feature,Secure,Detection & Response,Events,Events Feed,"When looking at the event you want to know the general topology of the workload. This can help you understand the criticality and the blast radius. We are adding the ability to directly get to the Netsec topology from the event using cluster, namespace and workload information",,Slack Link,NA,?,?,NA,NA,,
11/7/2022,Product Feature,Secure,Detection & Response,Events,Events Feed,"you see an event happening multiple times, you open it… and ah!... I know why it is happening and I would just like to “shut” this event up. Aka. tune it. We are adding an ability to tune the events from the Respond button on the event details.",,Slack Link,NA,?,?,NA,NA,,
11/7/2022,Product Feature,Secure,Settings,Notification Channel,,"We have added a rule name in to the notifications. It will show up as a link to rule in Team, Slack and email.",,Slack Link,NA,?,?,NA,NA,,
11/8/2022,Component,Platform,Terraform Provider,,,0.5.41,,Slack Link,NA,NA,NA,Release Notes,NA,,
11/8/2022,Component,Secure,Cloud Connector,,,0.16.22,Disable bruteforce rules by default (#781),Slack Link,NA,NA,NA,Release Notes,NA,,
11/10/2022,Utility,Secure,Falco,,,Redirect STDOUT/STDIN to Network Connection in Host,"This rule detects copying of STDIN/STDOUT file descriptors that are redirected to a new network connection. This rule is similar to the same rule we have been using for containers but applied to hosts and used to detect reverse shells which are used by attackers to open a non-interactive shell in the compromised host/container and run arbitrary commands.
Policy: Sysdig Runtime Notable Events
False Positive Chance: Medium",Slack Link,NA,NA,NA,NA,NA,,
11/10/2022,Utility,Secure,Falco,,,Lastlog Files Cleared,"This rule came from commands seen in honeypot and detects a deletion of lastlogs records by using the “lastlog” command or by editing the lastlogs files. This technique is used by attackers to hide their presence or remove their traces.
Policy: Sysdig Runtime Threat Detection
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
11/10/2022,Product Feature,Monitor,Monitor Integration,Cloud,,"Preview availability of a new Lambda extension, created by Sysdig, which generates metrics based on real-time Lambda events and pushes those metrics to Sysdig Monitor.",,Slack Link,NA,NA,NA,NA,NA,,
11/15/2022,Component,Secure,Cloud Connector,,,0.16.23,"Features
Make the Falco :falco-fly: rule provider understand disabled rules in Sysdig Secure Policies (#782)",Slack Link,NA,NA,NA,Release Notes,NA,,
11/15/2022,Component,Secure,Admission Controller Int,,,3.9.12,"Features
Make the Falco :falco-fly: rule provider understand disabled rules in Sysdig Secure Policies (#782)",Slack Link,NA,NA,NA,Release Notes,NA,,
11/15/2022,Component,Platform,Agent,,,12.9.1,"Defect Fixes
Fix Legacy Proxy Connection Between Agent and Collector
The legacy mode of the proxy connection between the agent and the collector works as expected. You can continue to configure if need be.

Fix Enriching Prometheus Metrics with Labels Periodically
Fixed an issue where most labels would be dropped from Prometheus metrics every 5 minutes. This issue only affects the Kubelet jobs associated with Prometheus Integrations as well as the custom job configuration declared by the user.

Fix Vulnerabilities
Fixed the following vulnerabilities:

CVE-2022-42003
CVE-2022-42004
CVE-2022-40674
CVE-2022-3515
CVE-2022-32149",Slack Link,NA,NA,NA,Release Notes,NA,,
11/17/2022,Component,Secure,Runtime Scanner,,,1.3.0,"fixes CVE-2022-32149
fixes CVE-2022-39237
adds support for rhel9-based OSes
Helm charts have been updated with the new version",Slack Link,NA,NA,NA,Release Notes,NA,,
11/17/2022,Component,Secure,Fargate,,,3.0.4,"Defect Fixes
Tag Value Reference Failure Fixed
The Instrumentation Lambda in the CloudFormation stack no longer fails when the workload to be instrumented contains references for tags’ values.

Broad Stack Permissions Reduced
Permissions were reduced in the CloudFormation stack.

Proxy Password Obfuscation Failure Fixed
Orchestrator and Instrumentation logs no longer contain plaintext proxy passwords.
",Slack Link,NA,NA,NA,Release Notes,NA,,
11/18/2022,Component,Monitor,Prometheus Integration,,,1.3.0,"## Integrations
Feat: New Integration - AWS MetricsStream CloudFront
Feat: Add cloud_provider_name to AWS MetricStreams dashboards scopes
Feat: Add metrics.enabled: true to the Harbor monitoring integration prerequisite
Feat: Add new query to alert library
Fix: Better etcd autodiscovery filter to exclude false positives
Feat: Remove Go metrics from Calico integration
## Dashboards and alerts
Fix: Remove deprecated storage metrics from alerts library
Fix: % of containers without CPU limits over 100%
## Internal tools and docs:
Feat: Add cost queries to promQL-digger tool
## Promcat.io:
Feat: in PromCat.io Add metrics.enabled: true to the Harbor in setup-guide",Slack Link,NA,NA,NA,Release Notes,NA,,
11/21/2022,Product Feature,Secure,Detection & Response,,, Image profiling - Policy creation flow discontinuation,,Slack Link,NA,NA,NA,NA,NA,,
11/21/2022,Product Feature,Secure,Detection & Response,Falco,Policy/Rule,ability to specify a Runbook link with each policy. This link will be available in the event details under the Respond button as well as in the notification. This will allow customers to tie in their security triage processes with Sysdig Secure.,,Slack Link,NA,?,?,NA,NA,,
11/22/2022,Product Feature,Secure,Posture,Compliance,,"(Technical Preview) - Download CSV directly from the compliance results view
Download CSV directly from the results view of a specific control
Receive JSON of compliance results directly via API for:
- Compliance Overview
- Compliance Results
- Control Resource Lists",,Slack Link,Video,NA,NA,NA,Docs Link,,
11/23/2022,Component,Platform,Terraform Provider,,,0.5.42,"Bug fixes
Import correcly exceptions in Falco rules (#217)
Solve dependabot requirements (#207)
Docs
Enhance contribution guidelines (#214)",Slack Link,NA,NA,NA,Release Notes,NA,,
11/23/2022,Utility,Secure,Falco,,,Mutated Pod Detected,"This rule is able to detect whenever a mutating admission controller handles and mutates the pod creation/edit request. Using it, it is possible to track (for audit purposes mainly) how pod creation requests were managed and mutated in a K8s cluster.
Policy: Sysdig K8s Activity Logs
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
11/23/2022,Utility,Secure,Falco,,,Configmap aws-auth changed,"This rule is able to detect any changes to the aws-auth configmap. The aws-auth configmap in EKS is in charge of authentication. This means that editing it may enable AWS users/roles to access your EKS cluster with a specific role, potentially system:masters
Policy: Sysdig K8s Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
11/24/2022,Component,Monitor,Prometheus Integration,,,1.4.0,"Integrations:
- Feat: Improve ""Windows Node Overview"" Dashboard and alerts
- Feat: Improve host infra alert and dashboards library
- Feat: New integration - Azure AKS
- Feat: New integration - Azure Cluster AutoScaler
- Feat: New integration: Azure Blob Storage
- Feat: New integration: Azure Files
- Feat: New integration: Azure Queue Storage
- Feat: New integration: Azure SQL
- Feat: New integration: Azure Storage Accounts
- Feat: New integration: Azure Table Storage
- Feat: Update Azure dashboards and alerts with new label format
- Fix: OPA discovery filter issue
- Fix: Truncate fields' length in helm charts to prevent too big values that break deployment files
- Sec: promcat-jmx-exporter image Critical High vulnerabilities
Dashboards and alerts:
- Fix: Use sysdig_ts_usage_10s instead of sysdig_ts_usage in Sysdig Monitor alerts
- Feat: Add a new alert to Redis to test lack of data alerts
- Feat: updating the legacy AWS dashboards by changing all of the metric timeAggregations from rate to avg",Slack Link,NA,NA,NA,Release Notes,NA,,
11/24/2022,Component,Platform,OnPrem,,,5.1.5,"Upgrade Process
Supported Upgrades From: 4.0.x, 5.0.x

For the full supportability matrix, see the Release Notes on Github. There you will also find important Install instructions.

Defect Fixes
Fixed an issue when Sysdigcloud-api would fail to connect to Cassandra when a column name already exists
Fixed an invalid Cassandra StatefulSet YAML issue in multi-AZ deployments
",Slack Link,NA,NA,NA,Release Notes,NA,,
11/28/2022,Product Feature,Secure,Detection & Response,Falco,Policy/Rule,"We have made the policy type explicit ""Managed Policy"", ""Managed Ruleset"" and ""Custom Policy"",
The drop down for the filter reflects the same.
We got rid of the lock icons for Managed Policy and Managed Ruleset.",,Slack Link,NA,NA,NA,NA,NA,,
11/29/2022,Utility,Secure,Falco,,,Create/modify EKS serviceaccount bound to AWS IAM role,"This rule is able to detect any changes to an EKS serviceaccount bound to an AWS IAM role. This kind of serviceaccount, once bound to an AWS IAM role, can be assigned to pods that will be granted the privileges of the associated IAM role. This means that creating or editing such serviceaccounts in EKS clusters can give the pods the privileges of the related AWS roles.
Policy: Sysdig K8s Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
11/29/2022,Utility,Secure,Falco,,,Suspicious Domain Contacted,"This rule detects command lines that contain suspicious domains. those domains can be used for legitimate purposes but they can also used by threat actors for malicious actions. The domains come from our honeypots, tests or real attacks seen in customers’ environments or threat intelligence feeds. The IoCs list is updated by Sysdig TRT.
Policy: Sysdig Runtime Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
11/30/2022,Component,Secure,CLI Scanner,,,1.3.0,"This version includes the following changes:
support for the risks-acceptance workflow
--no-cache config flag: disable the cache layer during the scan
--standalone config flag: disable communication towards our BE, this means --> skip upload of the scan-result, offline-analyze, no policies, no policy remediations, no risks-acceptance, no download of the mainDB (local path for an existing one needs to be provided with the dedicated parameter)",Slack Link,NA,NA,NA,NA,NA,,
11/30/2022,Product Feature,Secure,VM,,,Accept Risk GA across all SaaS customers - New Vuln Engine,,Slack Link,NA,Video,,NA,NA,Gaurang,07/23/2023
11/30/2022,Product Feature,Secure,Detection & Response,Events,Events Feed,"Now you can search events by Event ID, this was requested by Twillio and TransUnion, but useful to any large enterprise who wants to get to an event in secure UI by getting the ID from SEIM.  Caveat : You need to ""build the expression"".
Now you can search for words from rule name in free text. For example, just type in ""shell"" and press enter in the search bar and any rule / policy that has shell will show up.",,Slack Link,NA,?,?,NA,NA,,
11/30/2022,Product Feature,Secure,Add On,Splunk,,The Sysdig Splunk App 1.1.2 and Add-on 1.1.2 have been released.,,Slack Link,NA,NA,NA,NA,NA,,
12/1/2022,Component,Monitor,Prometheus Integration,,,1.5.0,"Integrations:
- Feat: New integration: Lambda metrics
- Feat: New integration: Azure API Management
- Feat: New integration: Azure Synapse Analytics
- Fix: Use proper aggregations with the Azure summary metrics
- Fix: Improve postgreSQL autodiscovery filter
- Feat: New integration: Windows Host
Dashboards and alerts:
- Fix: Use correct label for joins in kubernetes dashboard to avoid incorrect data on no-limits containers
- Feat: Add new alert to detect exporter down in alerts templates
- Fix: Some dashboards take duplicated data when range of information increase
- Fix: Remove old ""Windows Node Overview"" template",Slack Link,NA,NA,NA,,NA,,
12/1/2022,Product Feature,Secure,VM,,,Host Scanning support for new VM engine,"Deployed by default using Helm chart 1.5.0+
As long as you are installing with newEngineOnly=true
Hosts will be automatically re-scanned twice per day
This feature is considered “Technology Preview”, not yet “GA”",Slack Link,NA,Video,,NA,Docs Link,Tushar,07/23/2023
12/1/2022,Product Feature,Secure,Secure Integration,Jira,,Jira Integration,,Slack Link,Video,NA,NA,NA,Docs Link,,
12/5/2022,Utility,Secure,Falco,,,Detect cloned process by PRoot,"This rule detects the activity of PRoot: this OSS tool works with a crafted filesystem built by the attacker and can use it as a separate environment to execute commands. This tool clones the available processes and uses them when necessary. It’s also capable of privileges escalation in some circumstances.
Policy: Sysdig Runtime Threat Detection
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
12/5/2022,Component,Platform,Terraform Provider,,,0.5.43,"a. Fixes for Twilio : filename in capture action - SSPROD-16842
b. Added TF support for recently added ""Remediation Link"" in policy
v 0.5.41 added
a. fix for Exception only rules requested. by Norwegian, SQUARE-ENX, Yahoo-Japan, dice - SSPROD-16209",Slack Link,NA,NA,NA,Release Notes,NA,,
12/7/2022,Component,Secure,Fargate,,,3.0.5,"Defect Fixes
Fixed the following vulnerabilities with the orchestrator agent:

CVE-2014-6407
CVE-2014-3499
CVE-2014-9356
CVE-2014-9357
CVE-2015-3627
CVE-2022-32149
CVE-2022-42898
Fixed the following vulnerabilities with the workload agent:

CVE-2021-42836
CVE-2021-42248
Fixed the following vulnerabilities with the serverless instrumentation:

CVE-2022-42898
",Slack Link,NA,NA,NA,Release Notes,NA,,
12/7/2022,Product Feature,Monitor,Monitor Integration,Cloud,,General availability of Azure Monitor metrics in Sysdig Monitor,,Slack Link,NA,?,?,NA,Docs Link,,
12/9/2022,Product Feature,Platform,Settings,RBAC,,Team Based Service Accounts are now GA and enabled for by default all SaaS customers,"What?
A service token similar to GitHub tokens that is defined in a scope of a team with a pre-defined expiration and 0 permissions out of the box (because security!)
Why?
One word: Automation. Any integration with Sysdig API should be using the service account tokens instead of user API tokens
Availability?
GA for all SaaS regions
Docs?
https://docs.sysdig.com/en/docs/administration/administration-settings/user-and-team-administration/manage-teams-and-roles/#service-accounts
How do I turn this on?
Enabled by default for all SaaS customers",Slack Link,NA,?,?,NA,Docs Link,,
12/9/2022,Component,Monitor,Prometheus Integration,,,1.5.1,"Integrations:
Fix: OpenShift API Server job metric filter has missing metrics
Dashboards and alerts:
Fix: Use container_id label in panels of Capacity planing instead of container
Fix: EC2 panels are duplicated
Fix: Remove fixed scope value in Linux Machines Overview dashboard
Fix: Extend query time to 10m in Sysdig Monitor alerts to be able to configure them in UI
Internal tools and docs:
Doc: Create automated docs for Azure integrations
Feat: Documentation Github action can target non-main branches",Slack Link,NA,NA,NA,,NA,,
12/9/2022,Utility,Secure,Threat Generator,,,"New Tests Added
nsenter container escape
polkit LPE  (CVE-2021-4034)
GPG key reconnaissance
Lastlog files cleared
base64 python script
ld.so.preload
diamorphine rootkit (host-only)
Unexpected network connection
New Mode of Operation
On-host! howto  (prev. existing modes: host/local Docker, K8s, and Fargate)",,Slack Link,NA,NA,NA,NA,NA,,
12/9/2022,Product Feature,Monitor,Prometheus,PromQL,,It let users understand the underlying reason of a PromQL Query yields No-Data in Dashboards,,Slack Link,Gifs,?,?,NA,NA,,
12/12/2022,Component,Secure,Admission Controller Int,,,3.9.15,"Bug Fixes
Add missing X-Sysdig-Product header for Sysdig requests (#787)",Slack Link,NA,NA,NA,Release Notes,NA,,
12/12/2022,Component,Platform,OnPrem,,,4.0.8-2,,Slack Link,NA,NA,NA,,NA,,
12/12/2022,Product Feature,Secure,Onboarding,,,First time onboarding flow,,Slack Link,Video,NA,NA,NA,NA,,
12/14/2022,Product Feature,Platform,Platform Integration,Audit,,Added Sysdig Platform Audit UI,"What?
We added a UI to the awesome Sysdig Platform Audit API
Why?
By popular demand - some customers didn't want to use event forwarder or access via API
Availability?
GA on all SaaS regions
Docs?
Sysdig Platform Audit
How do I turn this on?
It's enabled on all SaaS regions (no IBM, will be included with OnPrem 6.0)",Slack Link,Video,NA,NA,?,nA,,
12/14/2022,Utility,Secure,Falco,,,Kubernetes Dashboard Exposed,"This rule detects the Kubernetes Dashboard being instantiated.  This can allow attackers to access configuration of the Kubernetes cluster and infiltrate the system.
Policy: Sysdig K8s Activity Logs
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
12/14/2022,Utility,Secure,Falco,,,SES Get Send Quota,"This rule detects an AWS API call to check the SNS (Simple Email Service) Send Quota limits.   This is an unusual call as the console uses sns:GetAccount.  This call may be used by attackers as a precursor to launching spam campaigns from a compromised AWS account
Policy: Sysdig AWS Activity Logs
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
